Log File Name;Locator Count Coherence;Round Type Set
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-217.30.96.0-MR-202.214.86.252.log;True;set([20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.50.32-MR-198.6.255.37.log;True;set([1, 21])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.30.128-MR-198.6.255.37.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.49.240-MR-173.36.254.164.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-37.77.56.128-MR-217.8.98.46.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.21.202-MR-149.20.48.77.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.53.0-MR-198.6.255.37.log;True;set([20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.21.192-MR-173.36.254.164.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.192.0-MR-202.214.86.252.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.56.0-MR-217.8.98.46.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.32.224-MR-149.20.48.77.log;True;set([0, 1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-37.77.57.40-MR-217.8.97.6.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-217.30.94.33-MR-149.20.48.61.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-85.0.0.0-MR-149.20.48.61.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-217.30.80.0-MR-193.162.145.50.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-216.0.0.0-MR-195.50.116.18.log;True;set([20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-216.0.0.0-MR-202.51.247.10.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.21.203-MR-217.8.98.46.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-196.0.0.0-MR-217.8.98.42.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.18.112-MR-202.51.247.10.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.48.128-MR-173.36.254.164.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.52.64-MR-198.6.255.40.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-37.77.57.104-MR-198.6.255.37.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.22.214-MR-149.20.48.61.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.43.48-MR-198.6.255.37.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-194.240.0.0-MR-195.50.116.18.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.22.146-MR-202.214.86.252.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.12.64-MR-149.20.48.77.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.13.240-MR-198.6.255.40.log;True;set([20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.20.0-MR-193.162.145.50.log;True;set([1])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.21.195-MR-198.6.255.40.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-153.16.50.160-MR-198.6.255.40.log;True;set([1, 20])
/home/cloud/Documents/PlanetLab/ucl/mappings/onelab1-EID-85.184.3.248-MR-217.8.98.46.log;True;set([1])
