Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/02 22:00:23;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 22:30:05;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 23:00:47;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
RoundNoReply;2013/07/02 23:30:28;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;*** No map-reply received ***
NegativeReply;2013/07/03 00:00:10;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 00:30:52;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 01:00:33;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 01:30:15;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 02:00:56;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 02:30:38;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 03:00:20;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 03:30:02;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07000;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 04:00:44;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 04:30:26;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01300;0;153.16.49.112/28;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 05:00:07;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.06900;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 05:30:49;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 06:00:31;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.07200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 06:30:13;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01400;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 07:00:55;153.16.49.112;195.50.116.18;139.165.12.211;195.50.116.18;153.16.49.112;195.50.116.18;0.01200;0;153.16.49.112/28;1;0;0;"""Negative cache entry""";forward-native
