Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
RoundNormal;2013/07/02 21:30:26;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 22:00:17;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 22:30:04;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 23:00:52;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 23:30:39;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.48500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 00:00:27;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 00:30:12;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 01:00:59;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 01:30:48;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 02:00:36;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 02:30:21;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 03:00:13;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43000;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 03:30:57;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 04:00:45;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 04:30:32;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 05:00:15;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.194.7;0.40200;1;153.16.18.176/28;60;1;0;0;122.177.194.7;up;1;100
RoundNormal;2013/07/03 05:30:05;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.194.7;0.40200;1;153.16.18.176/28;60;1;0;0;122.177.194.7;up;1;100
RoundNoReply;2013/07/03 06:00:51;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;*** No map-reply received ***
RoundNormal;2013/07/03 06:30:36;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.38.120;0.45400;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
